Designator,Part Number,Quantity
TL1,S8NR-S60024-A2L2-IL3,1
U1,2KDFN68CA-M3/H,3153
TL2,PS67K-3S-24L-250,103
U2,2KDFN82CA-M3/H,251
Q1,IQE036N08NM6SCATMA1,318
U3,2KDFN100CA-M3/H,3029
D1,SE40CLJHM3/I,1393
U4,FS01M5R12A7MA2BHPSA1,1
U5,SMB10J9.0AHE3_B/I,2296
U6,T4F47CAHM3/I,470
Q2,"SSM6K388R,LF",2129
D2,VS-4C06ET07S2LHM3,100
U7,450-AENV-C,27
D3,VS-4C20CP07LHM3,502
U8,2KDFN36CA-M3/H,417
U9,3KDFN22CA-M3/H,3105
U10,3KDFN22A-M3/H,455
U11,3KDFN13CA-M3/H,3180
D4,BZG03C62-HM3_A-08,394
Q3,IMBG75R016M2HXTMA1,10
