Designator,Part Number,Quantity
D-NEW1,MDX-SBR4520HE-NX,100
Q-NEW1,MDX-GAN100V-9012N,40
L-NEW1,MDX-IND33UHPWR-NX,90
R-NEW1,MDX-RESARR16CH-NX,80
U1,3KDFN18CA-M3/H,171
J-NEW1,MDX-CONNMZ40PRO-X,12
D1,BZX384B33-HE3_A08,1473
L-NEW2,MDX-CBLHFLEX24-NX,25
Q-NEW3,MDX-IGBT750HP-NX,15
SEN-NEW2,MDX-TEMPNTC10K-PR,200
Q1,IQEH42NE2LM7ZCGSCATMA1,247
C-NEW1,MDX-CAP4700UF-SS,60
J-NEW2,MDX-CONNUSB4X-NEW,30
D2,BZG05C5V6-M3_A-08,389
Q-NEW2,MDX-SICMOD-2201X,20
D3,VS-E7SX0212-M3V/I,376
C-NEW2,MDX-CAP100NF-HTX,500
TL-NEW1,MDX-PROGEVKQ7-NEW,5
SEN-NEW1,MDX-HALL77ZX-NEW,45
D-NEW2,MDX-ZEN33VNX-220,250
